User Input,Polarity,Extracted Concern,Category,Intensity
Every day I’m can't sleep well.,Positive,can't sleep well,Career Confusion,3
Every day I’m confused about job prospects.,Positive,confused about job prospects,Stress,2
Every day I’m constantly worried.,Neutral,constantly worried,Career Confusion,8
Every day I’m extremely stressed.,Neutral,extremely stressed,Anxiety,3
Every day I’m feeling hopeful.,Negative,feeling hopeful,Insomnia,6
Every day I’m feeling much better.,Positive,feeling much better,Eating Disorder,9
Every day I’m feeling very anxious.,Neutral,feeling very anxious,Career Confusion,3
Every day I’m feeling very low.,Neutral,feeling very low,Depression,10
Every day I’m happy and excited.,Neutral,happy and excited,Health Anxiety,1
Every day I’m not eating properly.,Negative,not eating properly,Positive Outlook,3
Every day I’m worried about health.,Negative,worried about health,Eating Disorder,3
"For a while now, I’ve been can't sleep well.",Neutral,can't sleep well,Career Confusion,7
"For a while now, I’ve been confused about job prospects.",Neutral,confused about job prospects,Health Anxiety,7
"For a while now, I’ve been constantly worried.",Positive,constantly worried,Health Anxiety,2
"For a while now, I’ve been extremely stressed.",Neutral,extremely stressed,Eating Disorder,3
"For a while now, I’ve been feeling hopeful.",Positive,feeling hopeful,Career Confusion,7
"For a while now, I’ve been feeling much better.",Positive,feeling much better,Insomnia,3
"For a while now, I’ve been feeling very anxious.",Positive,feeling very anxious,Health Anxiety,2
"For a while now, I’ve been feeling very low.",Neutral,feeling very low,Health Anxiety,7
"For a while now, I’ve been happy and excited.",Neutral,happy and excited,Anxiety,3
"For a while now, I’ve been not eating properly.",Positive,not eating properly,Insomnia,2
"For a while now, I’ve been worried about health.",Positive,worried about health,Health Anxiety,4
"Honestly, I’m can't sleep well.",Neutral,can't sleep well,Career Confusion,6
"Honestly, I’m confused about job prospects.",Positive,confused about job prospects,Anxiety,10
"Honestly, I’m constantly worried.",Neutral,constantly worried,Anxiety,8
"Honestly, I’m extremely stressed.",Neutral,extremely stressed,Career Confusion,5
"Honestly, I’m feeling hopeful.",Negative,feeling hopeful,Eating Disorder,5
"Honestly, I’m feeling much better.",Neutral,feeling much better,Depression,2
"Honestly, I’m feeling very anxious.",Positive,feeling very anxious,Anxiety,8
"Honestly, I’m feeling very low.",Neutral,feeling very low,Eating Disorder,2
"Honestly, I’m happy and excited.",Neutral,happy and excited,Career Confusion,4
"Honestly, I’m not eating properly.",Negative,not eating properly,Anxiety,7
"Honestly, I’m worried about health.",Neutral,worried about health,Anxiety,5
I am can't sleep well these days.,Neutral,can't sleep well,Depression,2
"I am can't sleep well, and it’s affecting me.",Negative,can't sleep well,Depression,3
I am confused about job prospects these days.,Neutral,confused about job prospects,Stress,8
"I am confused about job prospects, and it’s affecting me.",Positive,confused about job prospects,Insomnia,8
I am constantly worried these days.,Positive,constantly worried,Depression,5
"I am constantly worried, and it’s affecting me.",Negative,constantly worried,Insomnia,4
I am extremely stressed these days.,Neutral,extremely stressed,Career Confusion,3
"I am extremely stressed, and it’s affecting me.",Negative,extremely stressed,Positive Outlook,6
I am feeling hopeful these days.,Neutral,feeling hopeful,Depression,4
"I am feeling hopeful, and it’s affecting me.",Neutral,feeling hopeful,Health Anxiety,3
I am feeling much better these days.,Positive,feeling much better,Anxiety,8
"I am feeling much better, and it’s affecting me.",Negative,feeling much better,Depression,2
I am feeling very anxious these days.,Negative,feeling very anxious,Positive Outlook,3
"I am feeling very anxious, and it’s affecting me.",Negative,feeling very anxious,Eating Disorder,8
I am feeling very low these days.,Negative,feeling very low,Career Confusion,8
"I am feeling very low, and it’s affecting me.",Positive,feeling very low,Anxiety,6
I am happy and excited these days.,Neutral,happy and excited,Positive Outlook,5
"I am happy and excited, and it’s affecting me.",Negative,happy and excited,Health Anxiety,3
I am not eating properly these days.,Neutral,not eating properly,Positive Outlook,9
"I am not eating properly, and it’s affecting me.",Positive,not eating properly,Insomnia,4
I am worried about health these days.,Negative,worried about health,Stress,2
"I am worried about health, and it’s affecting me.",Neutral,worried about health,Depression,1
I can’t stop can't sleep well.,Positive,can't sleep well,Eating Disorder,1
I can’t stop confused about job prospects.,Positive,confused about job prospects,Depression,6
I can’t stop constantly worried.,Positive,constantly worried,Depression,7
I can’t stop extremely stressed.,Negative,extremely stressed,Anxiety,5
I can’t stop feeling hopeful.,Negative,feeling hopeful,Health Anxiety,4
I can’t stop feeling much better.,Negative,feeling much better,Depression,1
I can’t stop feeling very anxious.,Neutral,feeling very anxious,Stress,3
I can’t stop feeling very low.,Negative,feeling very low,Insomnia,1
I can’t stop happy and excited.,Positive,happy and excited,Depression,6
